,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,97,23,26,30,16,11,33,2,2,1,4,,3.0,3,3,3,8,9,4,3.0,4.0,5,1,4,,1.0
1981,89,14,23,32,17,5,33,5,3,6,13,6.0,4.0,6,4,1,10,12,3,2.0,5.0,3,1,2,,
1982,89,16,17,21,10,4,22,7,2,6,1,3.0,5.0,2,3,7,11,14,1,1.0,1.0,2,2,4,,4.0
1983,118,27,34,32,10,7,41,6,3,4,3,3.0,,8,1,3,8,18,2,2.0,,2,1,9,,1.0
1984,114,25,28,23,30,5,46,4,6,5,3,4.0,11.0,10,5,4,13,13,1,3.0,3.0,7,8,6,,2.0
1985,124,21,39,47,20,3,50,1,2,4,4,1.0,2.0,16,3,2,16,10,1,4.0,3.0,3,1,2,,1.0
1986,101,22,42,43,28,8,56,10,4,2,6,6.0,9.0,11,7,3,9,15,6,2.0,5.0,9,3,8,1.0,5.0
1987,211,43,50,49,29,7,60,5,7,7,8,6.0,12.0,5,5,3,10,38,3,3.0,9.0,2,2,13,,4.0
1988,248,38,55,45,31,17,67,4,6,5,5,4.0,7.0,11,4,4,19,49,3,2.0,10.0,3,2,12,1.0,2.0
1989,233,44,62,58,29,10,60,9,6,10,6,2.0,7.0,9,2,7,27,29,1,6.0,6.0,8,2,19,,6.0
1990,389,43,56,61,40,11,84,8,5,17,7,11.0,11.0,11,7,5,24,50,3,5.0,16.0,8,4,10,,5.0
1991,399,48,69,75,53,8,80,4,5,26,16,6.0,11.0,16,9,8,14,61,4,,14.0,5,26,9,2.0,5.0
1992,451,63,61,65,39,13,89,10,12,9,4,9.0,13.0,9,11,10,16,51,4,2.0,18.0,4,11,10,2.0,6.0
1993,435,49,85,87,44,15,83,7,13,9,9,17.0,18.0,9,15,18,18,47,6,2.0,19.0,2,12,13,4.0,7.0
1994,415,64,75,75,60,16,87,12,7,17,12,17.0,14.0,9,8,18,20,62,6,2.0,13.0,9,5,24,2.0,6.0
1995,474,75,79,70,53,10,110,7,8,22,7,9.0,24.0,12,17,10,15,69,6,4.0,8.0,8,7,17,2.0,1.0
1996,496,67,88,111,80,18,93,13,12,15,15,18.0,23.0,14,6,13,22,59,5,5.0,14.0,7,13,23,,3.0
1997,515,84,117,149,53,23,102,16,14,21,22,25.0,22.0,22,10,14,27,75,8,5.0,14.0,3,12,19,7.0,12.0
1998,643,83,147,147,79,27,153,15,16,35,26,30.0,25.0,28,14,24,28,68,9,11.0,13.0,8,17,24,3.0,10.0
1999,797,80,159,152,98,36,176,18,14,27,36,19.0,24.0,18,7,27,47,83,3,8.0,21.0,3,14,23,4.0,3.0
2000,916,75,196,201,112,49,185,20,19,33,58,26.0,30.0,34,24,24,48,105,9,17.0,24.0,6,22,28,14.0,10.0
2001,984,103,209,199,148,85,231,16,41,30,80,29.0,48.0,37,38,17,75,126,4,24.0,26.0,9,24,26,15.0,11.0
2002,1099,116,240,613,208,232,262,39,39,48,105,48.0,36.0,62,27,27,94,147,13,27.0,43.0,23,34,33,11.0,15.0
2003,1132,118,286,650,209,251,336,27,46,55,156,41.0,42.0,79,38,31,124,156,18,24.0,45.0,33,34,49,19.0,20.0
2004,1340,126,324,586,205,260,357,50,51,63,235,74.0,38.0,78,36,40,101,157,16,19.0,40.0,17,34,60,19.0,18.0
2005,1735,173,384,737,266,376,461,49,56,72,254,69.0,46.0,92,63,34,151,180,34,34.0,56.0,28,44,57,22.0,21.0
2006,1787,183,443,1137,332,475,525,63,68,105,365,99.0,57.0,120,70,58,200,221,38,53.0,59.0,30,55,93,21.0,23.0
2007,1802,209,541,1061,332,389,583,68,82,96,446,117.0,65.0,143,77,53,214,229,55,42.0,64.0,40,71,107,32.0,17.0
2008,2045,266,592,1284,376,605,661,111,94,97,627,144.0,99.0,137,69,71,258,226,55,60.0,70.0,55,51,102,29.0,21.0
2009,2289,320,644,1385,403,673,706,110,81,120,580,160.0,111.0,154,75,84,253,249,55,85.0,76.0,92,90,120,36.0,29.0
2010,2516,395,802,1775,424,715,841,125,92,165,598,234.0,137.0,182,102,82,258,255,102,96.0,89.0,82,68,176,56.0,38.0
