,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
2003,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2004,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2005,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
2006,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
2007,3.0,,,,1.0,,,,2.0,,,,,,,,1.0,,,,,,,,,1.0
2008,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
2009,6.0,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
2010,4.0,3.0,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,1.0,,,
2011,3.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,
2012,3.0,2.0,5.0,,2.0,,,,2.0,,,,1.0,,,,,,,,,,,,,
2013,7.0,7.0,4.0,1.0,2.0,,,,,,,,,,,,,1.0,,,3.0,,,,,
2014,8.0,7.0,5.0,,3.0,,,,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,
2015,11.0,4.0,3.0,2.0,2.0,,,,,,,,1.0,,,,,,,,1.0,,,,,
2016,4.0,10.0,3.0,1.0,2.0,,,1.0,2.0,5.0,1.0,,,,3.0,,2.0,2.0,,,1.0,,,,,
2017,7.0,18.0,9.0,8.0,5.0,2.0,1.0,2.0,6.0,,2.0,,,,1.0,,,2.0,,,1.0,,,,,
2018,16.0,14.0,2.0,23.0,5.0,6.0,2.0,,3.0,2.0,,3.0,1.0,1.0,,,,2.0,2.0,,1.0,,,,,
2019,17.0,18.0,7.0,3.0,11.0,7.0,,6.0,1.0,2.0,,3.0,,,3.0,,,,,3.0,1.0,,,,,
2020,18.0,38.0,7.0,5.0,4.0,10.0,,3.0,5.0,4.0,,2.0,3.0,,4.0,,,,1.0,,,2.0,,,,
2021,25.0,36.0,10.0,9.0,3.0,6.0,1.0,1.0,2.0,1.0,3.0,6.0,1.0,1.0,1.0,,,2.0,1.0,,,,,,1.0,
2022,38.0,44.0,9.0,10.0,8.0,7.0,2.0,2.0,4.0,11.0,1.0,12.0,4.0,,,,1.0,3.0,,1.0,4.0,1.0,1.0,,,
2023,35.0,88.0,14.0,10.0,4.0,6.0,2.0,4.0,4.0,19.0,3.0,17.0,5.0,2.0,1.0,,1.0,,,1.0,,2.0,,,,1.0
2024,43.0,89.0,28.0,14.0,14.0,9.0,3.0,10.0,13.0,15.0,1.0,28.0,11.0,,6.0,,2.0,1.0,,4.0,4.0,6.0,,,,
