,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,43,13,24,6,11,2.0,45,7.0,,2.0,3.0,,1.0,3.0,2.0,8,4.0,9,,1.0,3,1.0,1.0,1.0,,2.0
1981,33,10,20,6,15,3.0,47,5.0,1.0,,4.0,1.0,1.0,3.0,1.0,16,3.0,15,,,4,1.0,,1.0,,1.0
1982,49,15,16,6,11,3.0,50,5.0,,2.0,2.0,2.0,1.0,2.0,3.0,12,6.0,16,,2.0,2,,,1.0,1.0,3.0
1983,50,14,23,5,8,3.0,48,3.0,2.0,2.0,1.0,,1.0,2.0,1.0,13,3.0,21,,1.0,3,,,,,1.0
1984,49,15,22,9,17,3.0,40,,,,,1.0,,,5.0,7,2.0,16,2.0,1.0,3,1.0,1.0,,,3.0
1985,41,15,32,11,10,5.0,37,3.0,2.0,3.0,3.0,2.0,1.0,3.0,,10,2.0,16,,2.0,1,,,,,
1986,51,14,33,10,15,3.0,32,3.0,,3.0,2.0,1.0,,1.0,4.0,3,1.0,15,,1.0,4,1.0,4.0,,1.0,5.0
1987,44,13,31,9,18,1.0,37,1.0,2.0,3.0,1.0,2.0,,2.0,3.0,6,7.0,21,,,5,,1.0,2.0,,1.0
1988,53,24,32,20,17,2.0,42,3.0,1.0,4.0,3.0,1.0,3.0,,2.0,3,3.0,17,1.0,3.0,4,,1.0,,1.0,4.0
1989,61,24,29,19,15,2.0,39,4.0,4.0,4.0,2.0,,4.0,3.0,2.0,5,,29,,,6,,4.0,2.0,,6.0
1990,81,26,50,14,18,3.0,36,2.0,3.0,,3.0,1.0,7.0,,2.0,10,1.0,25,,4.0,5,1.0,5.0,,,6.0
1991,85,20,36,16,13,1.0,46,6.0,4.0,3.0,4.0,1.0,5.0,,3.0,5,4.0,16,1.0,3.0,4,,4.0,1.0,1.0,
1992,95,20,40,11,17,2.0,39,3.0,3.0,5.0,6.0,2.0,4.0,,11.0,6,3.0,12,,1.0,6,2.0,4.0,1.0,,3.0
1993,93,13,27,20,23,,40,6.0,5.0,7.0,5.0,6.0,5.0,,,5,5.0,28,2.0,1.0,5,1.0,6.0,,1.0,1.0
1994,99,23,47,20,20,4.0,36,5.0,2.0,16.0,4.0,5.0,4.0,1.0,4.0,1,1.0,29,3.0,1.0,7,1.0,2.0,2.0,,3.0
1995,114,27,35,8,21,1.0,37,5.0,,11.0,2.0,5.0,4.0,,8.0,2,2.0,16,,1.0,7,2.0,4.0,,,4.0
1996,115,18,36,6,21,4.0,33,10.0,,7.0,1.0,6.0,7.0,,7.0,5,2.0,32,1.0,,2,,6.0,1.0,1.0,1.0
1997,87,16,41,8,19,4.0,38,3.0,2.0,16.0,2.0,2.0,4.0,1.0,5.0,1,3.0,39,2.0,2.0,6,1.0,3.0,2.0,,4.0
1998,92,20,47,25,34,5.0,30,4.0,1.0,10.0,1.0,3.0,4.0,2.0,3.0,5,1.0,25,,,2,1.0,2.0,3.0,1.0,6.0
1999,106,19,34,14,35,4.0,35,6.0,6.0,12.0,5.0,5.0,7.0,3.0,8.0,5,2.0,33,3.0,2.0,4,1.0,1.0,3.0,,3.0
2000,188,54,77,39,57,5.0,38,8.0,9.0,23.0,6.0,15.0,16.0,1.0,9.0,5,1.0,28,3.0,6.0,22,28.0,1.0,2.0,1.0,1.0
2001,232,68,74,37,52,15.0,35,10.0,8.0,28.0,3.0,15.0,16.0,,17.0,9,3.0,37,5.0,5.0,20,30.0,6.0,4.0,,6.0
2002,235,75,64,53,74,9.0,36,13.0,3.0,35.0,5.0,12.0,19.0,2.0,12.0,7,7.0,25,1.0,7.0,22,34.0,9.0,1.0,,4.0
2003,236,79,94,48,63,10.0,36,12.0,10.0,26.0,2.0,18.0,30.0,4.0,14.0,5,2.0,29,3.0,10.0,16,22.0,4.0,2.0,,5.0
2004,248,60,115,62,93,13.0,39,12.0,15.0,34.0,6.0,25.0,21.0,2.0,21.0,8,3.0,38,3.0,3.0,17,22.0,7.0,1.0,1.0,4.0
2005,281,110,108,65,104,15.0,29,16.0,10.0,32.0,7.0,11.0,18.0,3.0,11.0,4,1.0,33,2.0,2.0,24,41.0,2.0,8.0,,6.0
2006,355,107,119,69,104,12.0,44,32.0,6.0,56.0,11.0,27.0,23.0,4.0,17.0,9,2.0,46,4.0,3.0,32,39.0,20.0,4.0,1.0,1.0
2007,410,108,109,60,119,13.0,51,22.0,21.0,38.0,5.0,28.0,32.0,2.0,15.0,9,3.0,40,,4.0,21,23.0,7.0,5.0,1.0,3.0
2008,422,109,109,79,111,20.0,50,34.0,19.0,67.0,3.0,19.0,27.0,4.0,19.0,9,2.0,47,,4.0,28,31.0,8.0,3.0,,7.0
2009,453,130,142,88,148,21.0,70,36.0,8.0,72.0,7.0,27.0,35.0,1.0,29.0,7,5.0,64,1.0,5.0,33,32.0,14.0,3.0,2.0,8.0
2010,514,149,148,62,140,26.0,46,21.0,17.0,77.0,7.0,29.0,34.0,,17.0,11,1.0,55,2.0,13.0,23,28.0,8.0,4.0,,8.0
2011,570,168,136,75,144,41.0,61,25.0,21.0,48.0,16.0,31.0,33.0,5.0,19.0,6,5.0,51,1.0,5.0,43,46.0,6.0,4.0,1.0,
2012,654,193,137,81,165,37.0,90,36.0,26.0,74.0,18.0,30.0,45.0,6.0,22.0,8,11.0,73,4.0,6.0,48,30.0,11.0,8.0,,4.0
2013,637,189,156,88,167,46.0,89,21.0,17.0,88.0,13.0,53.0,45.0,3.0,22.0,13,7.0,53,4.0,8.0,31,44.0,5.0,3.0,,2.0
2014,758,218,267,159,231,74.0,100,43.0,24.0,70.0,13.0,59.0,61.0,6.0,31.0,13,10.0,68,8.0,16.0,50,69.0,4.0,5.0,,4.0
2015,782,202,247,117,194,49.0,81,43.0,25.0,78.0,32.0,82.0,50.0,6.0,22.0,11,11.0,76,11.0,14.0,40,28.0,8.0,7.0,,11.0
2016,683,230,275,76,241,57.0,71,31.0,34.0,85.0,14.0,86.0,58.0,7.0,40.0,11,15.0,76,10.0,18.0,44,23.0,3.0,5.0,,9.0
2017,802,325,265,114,212,63.0,72,49.0,44.0,75.0,13.0,75.0,74.0,11.0,46.0,12,12.0,78,2.0,6.0,56,34.0,11.0,5.0,2.0,4.0
2018,777,353,328,131,266,72.0,98,55.0,48.0,69.0,17.0,94.0,88.0,5.0,35.0,9,6.0,96,10.0,8.0,55,53.0,10.0,4.0,1.0,10.0
2019,931,359,391,138,286,76.0,106,53.0,34.0,115.0,23.0,125.0,87.0,13.0,41.0,8,6.0,87,14.0,18.0,80,44.0,10.0,6.0,3.0,9.0
2020,1194,451,414,194,366,92.0,108,81.0,45.0,116.0,25.0,169.0,117.0,7.0,45.0,15,13.0,132,12.0,37.0,76,55.0,11.0,8.0,1.0,14.0
2021,1231,508,475,223,508,113.0,117,117.0,72.0,135.0,28.0,179.0,139.0,12.0,54.0,21,26.0,114,21.0,49.0,74,60.0,12.0,8.0,3.0,17.0
2022,1367,725,467,242,540,171.0,144,142.0,164.0,119.0,38.0,261.0,177.0,22.0,46.0,24,11.0,135,20.0,56.0,80,72.0,11.0,10.0,,11.0
2023,1453,815,542,279,525,180.0,158,115.0,71.0,169.0,46.0,377.0,206.0,18.0,54.0,25,16.0,141,21.0,53.0,87,98.0,14.0,7.0,3.0,14.0
2024,1564,1033,616,331,582,249.0,154,154.0,81.0,172.0,58.0,394.0,283.0,23.0,63.0,15,22.0,144,27.0,36.0,106,109.0,22.0,11.0,4.0,17.0
