,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,18,5,3,143,12,13,28,,2,2.0,116,1.0,3.0,58,43,5,63,,1.0,29,,2.0,1.0,1,4,
1981,23,6,10,173,15,12,20,1.0,5,1.0,145,1.0,1.0,49,56,15,54,4.0,,21,,,1.0,2,5,1.0
1982,17,9,9,186,14,15,28,,4,,172,,2.0,41,53,5,60,,3.0,12,,2.0,,2,7,
1983,30,14,8,145,5,13,16,1.0,7,2.0,88,1.0,,57,71,8,64,1.0,1.0,18,,1.0,,4,10,
1984,21,7,9,129,19,12,24,2.0,2,,147,1.0,3.0,53,38,1,71,1.0,,30,,1.0,1.0,2,12,
1985,17,7,7,126,9,6,35,2.0,4,1.0,110,,3.0,56,15,4,60,1.0,,21,1.0,1.0,,5,13,
1986,32,10,9,172,5,8,37,,4,1.0,108,,1.0,62,14,6,48,3.0,,34,,1.0,,5,8,1.0
1987,35,7,20,220,19,15,65,1.0,6,1.0,135,1.0,3.0,77,10,6,114,5.0,1.0,41,1.0,,,7,15,
1988,46,12,16,206,12,13,55,1.0,3,4.0,134,,1.0,89,22,13,115,9.0,2.0,22,1.0,2.0,,6,16,
1989,51,8,21,237,22,21,83,5.0,8,1.0,150,,,116,18,8,103,6.0,4.0,66,2.0,1.0,,12,13,
1990,68,13,17,306,24,23,109,5.0,12,4.0,219,3.0,1.0,169,26,17,116,11.0,3.0,54,3.0,5.0,1.0,18,6,1.0
1991,72,15,21,323,19,18,104,4.0,10,2.0,208,3.0,1.0,186,21,25,64,7.0,7.0,71,3.0,,,6,12,
1992,88,15,20,414,30,37,119,6.0,9,1.0,299,2.0,14.0,300,51,22,129,6.0,7.0,105,1.0,3.0,3.0,20,7,1.0
1993,99,30,31,441,52,60,122,5.0,18,3.0,300,7.0,8.0,462,72,32,172,12.0,5.0,121,4.0,8.0,,21,24,
