,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,106,10,10,,4,4,9,3,6,3,1,2,,1,4,,1,1,1,,,,1,2,,
1981,116,11,9,2,2,,8,8,6,4,1,1,1,,3,4,,4,,,4,1,,,,2
1982,62,8,6,,3,,8,,3,2,,1,1,2,2,5,1,1,,,1,3,1,,,
1983,35,6,9,,2,,11,1,1,1,,2,,1,2,4,,,,,3,,,,,1
1984,25,8,18,1,13,3,10,1,4,3,1,2,,1,3,7,,1,2,,3,,,,,
1985,42,8,18,2,15,1,6,2,5,1,,,3,2,7,,,1,1,,2,,1,,,
1986,28,6,9,2,4,,3,3,2,3,,2,2,2,6,5,1,,1,,,1,1,,,1
1987,23,8,16,4,6,,9,,3,,,,3,2,1,2,2,,1,,,1,,,,2
1988,33,14,15,,10,1,17,1,3,2,,,1,2,6,5,,2,,1,,,,,1,
1989,26,13,6,1,5,1,7,3,,1,1,,1,4,1,6,2,4,1,1,,,,,,1
1990,59,11,24,,9,3,11,2,3,7,,1,3,4,3,12,3,3,3,2,1,,5,3,,
1991,62,6,11,7,8,4,14,3,3,2,,,,6,2,7,3,5,,4,2,,2,1,1,2
1992,70,32,17,6,8,4,28,5,7,4,,1,1,6,2,9,11,6,,,2,,1,,,3
1993,77,29,22,8,8,2,22,4,7,7,4,,2,6,8,8,10,5,,2,4,1,,,,
1994,92,22,19,9,12,3,20,3,7,4,4,1,2,5,3,12,,5,,5,,2,1,2,,2
1995,90,23,22,9,13,6,34,8,4,6,2,1,3,10,5,17,10,6,2,6,2,,2,1,,
1996,132,36,24,13,7,4,42,4,6,2,7,3,6,18,5,16,3,6,2,4,,3,,,,2
1997,141,35,52,12,19,13,41,5,15,5,3,7,3,20,6,14,13,15,3,11,1,2,,1,,2
1998,156,22,45,8,21,15,54,4,7,8,7,6,5,20,7,9,8,8,1,9,,1,,1,2,5
1999,155,28,34,19,24,15,39,7,9,13,6,4,11,15,10,13,9,11,2,9,2,,2,3,,6
2000,165,61,34,16,28,18,56,12,17,9,6,4,5,16,13,11,26,12,,10,5,1,1,3,1,3
2001,178,69,51,20,31,22,48,7,18,16,4,2,13,22,15,17,18,11,4,9,,2,1,,2,3
2002,190,79,55,39,35,27,63,13,13,13,5,6,15,22,16,28,18,9,5,12,2,4,2,1,2,3
2003,204,93,68,33,55,28,59,13,13,8,13,14,16,17,17,19,19,21,,14,3,11,4,,,4
2004,239,103,81,50,51,25,78,15,20,20,13,11,13,16,24,13,31,14,,9,3,6,1,1,2,4
2005,277,193,86,51,49,33,65,17,25,26,13,12,14,18,31,23,27,14,3,8,7,10,5,2,,4
2006,333,146,102,59,68,41,92,20,17,40,13,25,27,18,18,20,29,21,3,12,6,7,5,3,,9
2007,323,176,101,40,61,53,87,29,23,34,20,14,35,21,24,18,17,25,4,10,6,8,3,3,2,3
2008,364,216,182,56,83,48,109,46,32,27,24,16,19,14,26,20,37,18,3,17,6,20,6,4,,5
2009,373,207,135,53,110,71,93,20,30,37,20,30,28,29,25,25,29,23,4,21,9,26,11,3,2,7
2010,432,268,217,60,108,72,149,42,49,52,15,46,42,19,40,29,32,21,5,19,10,24,6,7,2,9
2011,455,340,178,63,128,75,163,41,59,52,41,28,40,27,47,29,34,36,6,26,13,24,6,3,1,14
2012,497,338,231,77,125,91,159,39,63,62,26,36,41,16,37,27,29,47,8,27,14,37,16,7,6,9
2013,479,365,203,88,159,107,184,54,65,66,29,45,52,26,40,41,52,38,12,19,15,38,16,10,3,15
2014,586,480,221,75,192,126,158,62,75,79,32,35,36,30,53,31,35,37,10,31,15,41,26,11,3,14
2015,610,512,287,135,168,146,195,85,93,80,34,55,66,34,51,34,45,39,8,22,17,24,25,12,3,25
2016,662,707,280,122,210,151,176,87,115,110,32,76,57,39,48,32,35,51,6,34,23,40,64,11,3,18
2017,738,650,294,142,217,104,185,75,108,98,49,58,75,34,55,34,43,39,15,22,26,54,31,11,4,23
2018,773,666,330,160,228,150,212,80,125,86,49,78,57,42,57,38,32,50,15,30,17,51,32,9,4,28
2019,858,758,358,147,233,154,214,95,134,161,38,69,67,47,50,33,41,43,11,27,21,41,32,14,6,26
2020,1029,948,383,163,332,164,221,132,145,237,40,95,78,50,62,66,39,63,16,26,24,45,32,9,1,27
2021,1172,870,422,156,335,224,242,156,133,200,44,79,94,49,80,53,27,58,9,31,32,41,52,15,2,36
2022,967,698,338,145,313,172,263,137,124,180,26,81,98,45,70,44,37,50,21,27,24,45,55,7,4,32
2023,1162,798,430,153,316,202,275,160,112,198,35,81,93,45,73,42,31,52,20,44,27,37,54,16,4,28
2024,1360,825,367,169,315,183,272,170,100,263,41,92,95,56,73,68,32,47,22,48,27,42,47,12,9,19
