,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,8,,,,1.0,,,1.0,,,1,2,1.0,,,,,,,,1.0,,
1981,,,1.0,19,,5.0,,,,,,,,3,2,,,,,,,,1.0,,,
1982,,1.0,,13,,3.0,,,,,1.0,,1.0,1,4,,,,,,,,,,,
1983,,,,21,2.0,5.0,,,,,4.0,,,3,6,,1.0,1.0,,,,,,,,
1984,1.0,,,24,,1.0,,1.0,,1.0,1.0,,1.0,5,13,,2.0,,,,,,,,,
1985,3.0,1.0,,30,1.0,8.0,,,1.0,,3.0,,,7,13,,,,,,,,,,,1.0
1986,,,,36,1.0,3.0,,,,,,1.0,,6,5,,1.0,,,,,,,,,
1987,,,,38,,8.0,1.0,,,,,,,7,6,,1.0,,,1.0,,,,,,
1988,2.0,,,57,1.0,1.0,,,,,1.0,,,2,24,,,,,,,,,,,
1989,2.0,1.0,1.0,34,,6.0,,,,,1.0,,,2,21,,2.0,,,,,2.0,,,,
1990,,2.0,,38,2.0,5.0,1.0,,,1.0,,,2.0,2,23,,,,1.0,,,,,,,
1991,1.0,2.0,,76,2.0,10.0,,1.0,,3.0,1.0,,2.0,3,13,,,,2.0,,,2.0,,,3.0,
1992,1.0,1.0,,54,,4.0,,,,,2.0,,1.0,1,16,,1.0,2.0,,2.0,,,,,,
1993,,,,67,2.0,1.0,,,,,,1.0,,11,21,,,,,,,,,,,
1994,2.0,2.0,3.0,56,1.0,6.0,,1.0,1.0,5.0,,,3.0,2,27,,,,,,1.0,1.0,,,1.0,
1995,3.0,2.0,1.0,56,2.0,1.0,2.0,,,,2.0,1.0,,13,26,,,,,1.0,,,,,,
