,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,2.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,
1981,1.0,1.0,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,
1982,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,3.0,,,,,,,,,,,
1983,2.0,1.0,6.0,1.0,6.0,,,1.0,1.0,,,,,,3.0,,,,,,,,,,,
1984,,4.0,1.0,,2.0,,,,,1.0,,,,,2.0,,,,,,,,,,,
1985,2.0,3.0,1.0,,3.0,1.0,,,1.0,,,,1.0,,3.0,,1.0,,,,,,,,,
1986,,3.0,3.0,,3.0,1.0,1.0,,,,,,,,1.0,,,2.0,,,,,,,,
1987,1.0,,2.0,,2.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,
1988,,2.0,,1.0,2.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,
1989,2.0,1.0,1.0,2.0,2.0,,2.0,,,,,,,,,,,1.0,,,,,,,,
1990,,2.0,2.0,,3.0,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,
1991,1.0,1.0,1.0,,,,4.0,,,1.0,,1.0,1.0,,2.0,,,,,1.0,,,,,,
1992,2.0,1.0,5.0,,3.0,1.0,1.0,2.0,,1.0,,,,,2.0,,,,,,,,,,,
1993,4.0,2.0,4.0,,4.0,,3.0,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,
1994,2.0,2.0,1.0,2.0,3.0,,1.0,1.0,1.0,2.0,,,2.0,,,,,,,,,,,,,
1995,2.0,1.0,3.0,,4.0,,1.0,,,,,,,,,,,,,,,,,,,
1996,1.0,2.0,,1.0,4.0,,2.0,1.0,1.0,,,3.0,,1.0,,,,1.0,,,,,,,,
1997,1.0,4.0,2.0,1.0,2.0,1.0,2.0,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,,
1998,5.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,
1999,,1.0,2.0,,,,2.0,,,,,2.0,,,1.0,,,,,2.0,,,,,,
2000,5.0,2.0,3.0,,5.0,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,
2001,2.0,3.0,6.0,,1.0,,,2.0,2.0,,,,,2.0,,,,,,,,,,,,
2002,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,1.0
2003,3.0,1.0,2.0,,6.0,3.0,,,1.0,,1.0,,1.0,,1.0,,,,,2.0,,,,,,
2004,5.0,7.0,3.0,,1.0,3.0,3.0,3.0,,1.0,,3.0,3.0,,1.0,,1.0,,,,,1.0,,,,
2005,3.0,6.0,3.0,,6.0,2.0,1.0,1.0,2.0,,,,,,,,,,,1.0,,,1.0,,,
2006,3.0,5.0,1.0,1.0,12.0,3.0,3.0,1.0,,1.0,,1.0,,2.0,1.0,,,,,,,,1.0,,,
2007,5.0,1.0,,,12.0,2.0,3.0,2.0,,2.0,,,,5.0,3.0,2.0,1.0,,,2.0,,,,,,
2008,3.0,3.0,4.0,,9.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,
2009,1.0,5.0,2.0,,11.0,3.0,1.0,3.0,1.0,,,1.0,1.0,7.0,,1.0,,2.0,,,,,,,,
2010,4.0,3.0,1.0,2.0,16.0,,3.0,,1.0,,,1.0,,4.0,,,,2.0,,,,,1.0,,,
