,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
1983,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
1984,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1985,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
1988,1.0,,2.0,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,
1989,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
1991,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
1992,2.0,4.0,2.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,
1993,2.0,2.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,
1994,3.0,4.0,1.0,,3.0,,,,,,1.0,,,,,,,,,,,,,,,
1995,2.0,3.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,
1996,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1997,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,
1998,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
1999,1.0,1.0,3.0,,3.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,1.0
2000,1.0,3.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
2001,,3.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
2002,,1.0,6.0,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,
2003,,4.0,5.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,
2004,1.0,,3.0,,,,,,,1.0,,,,,,,,2.0,,,,,,,,
2005,1.0,3.0,3.0,,3.0,,,,,,,1.0,,,,,,,,,,,,,,
2006,2.0,4.0,2.0,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,
2007,1.0,2.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
2008,3.0,4.0,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,
2009,1.0,3.0,2.0,,3.0,,3.0,,,1.0,,,,,,,,,,,,,,,,
2010,2.0,6.0,3.0,1.0,3.0,,1.0,,,,,,,,,1.0,,,,,,,,,,
2011,4.0,7.0,4.0,1.0,3.0,,2.0,2.0,,,,,,,,,,,,,,,,,,
2012,2.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,2.0,,,,,
2013,1.0,6.0,,,5.0,,,1.0,,,,,,,1.0,,,,,,,,,,,
2014,3.0,8.0,5.0,,4.0,,2.0,,,2.0,,2.0,1.0,,3.0,,,,,,,,,,,
2015,,5.0,4.0,,1.0,,,,1.0,,,1.0,,,,,,3.0,,,,,,,,
2016,9.0,8.0,11.0,2.0,5.0,,2.0,,1.0,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,
2017,7.0,7.0,11.0,,4.0,1.0,3.0,1.0,2.0,3.0,,1.0,,,,2.0,,1.0,,,2.0,1.0,,,,
2018,6.0,12.0,8.0,1.0,5.0,,2.0,,,3.0,,,,,,,,1.0,1.0,,3.0,,,,,
2019,14.0,15.0,9.0,,6.0,,1.0,2.0,1.0,2.0,,1.0,1.0,,2.0,,1.0,2.0,,1.0,1.0,,,1.0,,
2020,22.0,15.0,18.0,1.0,7.0,,7.0,4.0,1.0,2.0,,2.0,3.0,,1.0,,,2.0,,,5.0,,,1.0,,
2021,30.0,11.0,7.0,,14.0,,6.0,2.0,,3.0,,5.0,1.0,,4.0,,,1.0,1.0,,1.0,,,,,
2022,22.0,16.0,13.0,1.0,5.0,,12.0,4.0,1.0,3.0,,2.0,1.0,1.0,3.0,,,1.0,,,,,,,,
2023,15.0,24.0,5.0,,7.0,4.0,7.0,2.0,,1.0,,3.0,3.0,,3.0,2.0,,1.0,1.0,,1.0,2.0,,,,
2024,20.0,21.0,3.0,,5.0,2.0,3.0,1.0,1.0,1.0,,2.0,,,,1.0,,,,,,,1.0,,,
