,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,1.0,2,3.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,
1981,1.0,1.0,1,,1.0,,,,,,,,,,,,,,,,,,,,,
1982,2.0,1.0,1,,,1.0,,,2.0,,1.0,,,3.0,,,1.0,,1.0,,,,,,,
1983,1.0,,1,1.0,,2.0,1.0,,,,1.0,,,1.0,2.0,,,,,,,,,,,
1984,4.0,2.0,1,4.0,,,,,1.0,,,,1.0,2.0,3.0,,2.0,,,,,,,,,1.0
1985,3.0,2.0,4,3.0,,,1.0,,,,1.0,,2.0,,,,1.0,,,,,,,,,2.0
1986,6.0,1.0,1,3.0,,2.0,,,,1.0,3.0,,,1.0,,,,,1.0,,,,,,,
1987,3.0,1.0,4,8.0,,,,,,,,,,1.0,1.0,,,1.0,,2.0,1.0,1.0,,2.0,,
1988,5.0,2.0,1,7.0,,,,1.0,,,1.0,,,1.0,1.0,,4.0,,,,,,,4.0,,
1989,8.0,1.0,1,6.0,,3.0,,,2.0,,2.0,,,3.0,1.0,,5.0,,,2.0,1.0,,,4.0,1.0,
1990,10.0,4.0,3,5.0,2.0,2.0,6.0,,1.0,,3.0,1.0,,8.0,3.0,,2.0,2.0,,1.0,,,,,1.0,
1991,6.0,2.0,5,13.0,1.0,2.0,2.0,,,2.0,2.0,1.0,,5.0,,,2.0,2.0,,,,1.0,,,,
1992,11.0,1.0,3,7.0,3.0,2.0,1.0,,1.0,1.0,7.0,,,3.0,4.0,,4.0,,,,1.0,,,1.0,,
1993,12.0,2.0,3,12.0,3.0,1.0,1.0,,1.0,1.0,9.0,,,2.0,2.0,1.0,4.0,1.0,,2.0,,,,1.0,1.0,
1994,3.0,1.0,2,4.0,1.0,1.0,2.0,1.0,,,,1.0,,1.0,1.0,1.0,,,1.0,4.0,,,,1.0,,
1995,4.0,3.0,2,15.0,5.0,1.0,1.0,,3.0,1.0,1.0,1.0,1.0,,,,,,,3.0,,,,1.0,,
1996,7.0,2.0,4,18.0,2.0,3.0,1.0,,4.0,,6.0,2.0,2.0,3.0,2.0,1.0,3.0,,1.0,2.0,,,,,,
1997,8.0,5.0,2,20.0,3.0,6.0,1.0,4.0,5.0,,11.0,4.0,1.0,3.0,1.0,3.0,4.0,,,3.0,,,,,,
1998,9.0,3.0,6,15.0,3.0,6.0,5.0,1.0,2.0,,8.0,1.0,,2.0,3.0,1.0,5.0,1.0,2.0,,,,,1.0,,1.0
1999,10.0,7.0,5,24.0,2.0,2.0,2.0,1.0,,1.0,5.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,,3.0,1.0,2.0,,,,2.0
2000,14.0,9.0,11,33.0,2.0,4.0,5.0,1.0,,2.0,16.0,,,2.0,1.0,2.0,2.0,3.0,1.0,1.0,,,,,,1.0
2001,24.0,14.0,11,16.0,,2.0,6.0,,3.0,4.0,9.0,,2.0,,2.0,3.0,,4.0,1.0,4.0,4.0,1.0,,,,1.0
2002,22.0,7.0,9,14.0,4.0,3.0,5.0,5.0,2.0,,5.0,2.0,2.0,1.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,,2.0,,
2003,21.0,12.0,3,17.0,6.0,10.0,7.0,2.0,1.0,3.0,4.0,1.0,3.0,2.0,7.0,3.0,,5.0,,1.0,,1.0,,2.0,,
2004,36.0,11.0,11,31.0,10.0,10.0,6.0,5.0,5.0,3.0,11.0,,1.0,4.0,4.0,1.0,4.0,2.0,,1.0,,2.0,1.0,7.0,,
2005,37.0,7.0,9,42.0,7.0,23.0,5.0,4.0,5.0,2.0,9.0,2.0,5.0,4.0,4.0,5.0,1.0,3.0,,5.0,3.0,1.0,,5.0,,
2006,48.0,22.0,9,46.0,9.0,16.0,6.0,1.0,2.0,7.0,12.0,6.0,3.0,5.0,7.0,1.0,8.0,2.0,1.0,3.0,,,2.0,1.0,2.0,
2007,29.0,20.0,8,33.0,15.0,12.0,12.0,3.0,3.0,3.0,22.0,3.0,4.0,6.0,7.0,1.0,8.0,2.0,5.0,5.0,4.0,2.0,5.0,4.0,2.0,
2008,52.0,19.0,19,55.0,11.0,24.0,8.0,4.0,5.0,3.0,23.0,3.0,4.0,6.0,2.0,1.0,16.0,1.0,3.0,10.0,6.0,1.0,2.0,1.0,2.0,
2009,64.0,15.0,26,53.0,19.0,25.0,14.0,4.0,8.0,2.0,15.0,7.0,10.0,10.0,9.0,,9.0,10.0,2.0,1.0,3.0,2.0,3.0,4.0,2.0,
2010,78.0,47.0,41,103.0,20.0,30.0,24.0,9.0,4.0,6.0,28.0,9.0,7.0,14.0,9.0,1.0,11.0,10.0,,7.0,7.0,3.0,5.0,9.0,4.0,1.0
2011,96.0,29.0,22,195.0,17.0,43.0,26.0,6.0,10.0,14.0,56.0,11.0,8.0,16.0,11.0,5.0,23.0,10.0,4.0,18.0,3.0,7.0,4.0,4.0,5.0,
2012,104.0,20.0,37,197.0,35.0,56.0,24.0,5.0,20.0,6.0,36.0,17.0,7.0,26.0,15.0,4.0,20.0,10.0,2.0,11.0,6.0,5.0,3.0,8.0,1.0,
