,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,193496,120865,85037,199704,42648,24880,71996,26355,73412,26127,28613,13481,26769,47064,21850,19234,50283,12269,5432,15631,7136,7140,3180,6634,4760,3548
1981,198977,119822,53770,210464,40075,25700,69952,26839,73162,26535,29707,13486,27340,50762,22681,20318,51089,12122,5717,15473,6660,7176,3317,6573,4826,2744
1982,203068,112085,55264,220184,39711,27330,72467,26801,65288,26775,29411,13205,26757,48897,23271,20782,50765,12850,5296,16098,6757,7530,3459,6873,5056,2829
1983,213876,116815,56329,229819,41623,29720,73302,27551,68466,28159,30861,14477,28864,52700,23676,21390,52786,13331,5214,16718,7180,7769,3703,6783,4980,2739
1984,223203,122090,60425,224586,43525,31181,76638,28510,71338,28196,32148,15465,30313,54682,25716,22400,53196,13967,4949,17147,7384,7916,4146,7088,5186,3043
1985,234190,125927,60835,238202,44919,33344,80785,29494,73108,29280,34813,16698,31488,57895,26673,24027,53805,15400,4795,17653,7666,8520,4468,7446,5415,3049
1986,243409,133167,65468,249677,46840,37647,84330,31198,78190,31168,35523,17837,33776,60935,27057,24686,53475,16562,4748,18066,8229,9206,4718,7475,5712,3241
1987,260821,137930,66010,261508,49014,40399,87715,32001,80626,33299,37511,19099,35675,65892,28028,26019,55497,17537,4682,18844,8686,9403,4506,7534,5837,3169
1988,271353,145916,69004,270802,49746,43379,92029,34030,84265,35692,39040,20235,36950,69323,29230,27103,55316,18605,4638,19895,8924,10202,5010,7753,5946,3157
1989,284139,157001,71161,301541,52584,46228,96372,35574,88474,36795,40773,21889,38925,72334,29684,28283,55747,19866,4801,20809,9151,10666,5698,8038,6007,3392
1990,312703,165144,108113,322515,60029,51002,108911,37606,92443,38306,43060,24242,40986,76370,31986,30888,58254,21357,4908,21951,10457,11050,5808,8807,6177,4226
1991,297838,169435,74825,339689,57716,54124,104232,37891,93597,38436,47284,25186,42161,79972,32763,29998,57434,21128,5228,22283,9613,11457,5679,8180,6156,3290
1992,311867,180827,81318,350561,61619,58636,108105,39345,100052,38711,48404,27231,44691,81818,33194,32281,58903,21339,5491,23390,9487,12163,5398,8116,6203,3449
1993,315474,194543,85039,368828,65922,62287,110996,40846,105495,41404,53120,30433,47599,88381,35980,31757,59901,22287,5890,23746,9829,12630,5156,7908,6437,3729
1994,330591,206860,89170,401234,69408,66518,117594,42513,113342,43431,53889,32729,49746,89749,36327,33426,60748,22843,6055,24516,10047,13173,5442,8182,6918,3618
1995,363794,218591,91595,428200,76628,68510,122253,44119,116563,46022,56383,35031,53120,90863,37135,35256,61940,24102,7012,25833,10139,13921,5565,8726,7362,3787
1996,395392,234353,97851,489765,80261,76834,132822,48052,124122,47541,61907,38021,55706,97714,39828,39303,64750,25808,7601,27085,10804,15202,6297,9516,7661,4158
1997,391380,248355,97620,527142,82329,78568,132915,49571,130881,50292,63593,41243,57558,100684,40317,40134,65125,26849,7460,27968,11221,15436,6365,8825,7716,4144
1998,431648,265024,105821,555916,87963,84204,143085,53113,137596,53041,66524,44663,60728,104244,41978,42211,66627,27994,8355,28602,11767,16077,6835,9634,7652,4470
1999,413507,283943,106182,607741,92394,91502,142702,54679,146211,53664,69804,49309,63250,105262,43853,41260,67311,26861,8610,30493,11383,17187,6630,9003,8239,4186
2000,509307,325193,149881,696612,122998,109637,166798,62829,206438,62752,82342,59811,76460,112133,63463,46737,70598,31162,10280,33852,13913,19623,8083,10927,9373,5106
2001,480292,348841,127744,756563,114535,120984,163475,64904,167114,62607,82966,65560,80305,117456,55157,44057,71229,29765,10486,35087,12589,21155,8096,10928,9476,4537
2002,522035,385790,138003,958346,129178,255686,174599,72986,179579,69781,99534,78878,89583,136279,62240,48950,75173,31174,12624,38329,13988,26956,9258,11981,10246,4961
2003,594649,415092,145537,963688,139389,216131,192353,75941,189076,76767,98945,86708,99074,135811,66903,52599,78010,34271,14450,40503,15209,27668,10297,13039,10996,5213
2004,646489,454064,156489,1025638,149542,219427,206293,82469,204829,84164,107455,95796,107858,138463,66929,54850,82104,37085,15812,40314,16572,28897,11175,14091,11848,5541
2005,675130,501901,169580,1121987,165409,258971,212201,89168,216321,89239,115232,108233,114875,148697,71179,56552,86313,38183,17389,43702,16928,33189,12107,15267,12552,5954
2006,740490,548090,182119,1206470,180384,281896,230752,99117,232605,96214,128533,119888,123470,155075,77151,61009,90842,41515,19876,46716,18486,36800,13314,16638,13000,6570
2007,766295,595984,195486,1248694,191274,293576,238282,106522,251393,103160,134148,129050,130231,151278,80511,63209,92598,43115,21965,50123,19439,39902,14647,17978,13385,6867
2008,862578,656158,215534,1336617,208352,315607,260566,117390,272023,115284,140712,142896,142863,153289,86273,71054,95131,47149,24848,53747,21848,44544,15838,19714,14469,7679
2009,914508,714329,251676,1422287,231726,340093,278806,127150,290392,124714,150498,156788,158764,157573,94634,73500,98896,52000,27931,55976,25375,48283,18407,21563,14682,8935
2010,943837,776865,264780,1508809,250327,366133,286349,139942,312132,134376,159751,171341,165900,163395,100376,81684,103061,51098,31819,57880,25219,51829,19979,23190,15755,9418
2011,987041,837103,264387,1584654,261913,369561,295361,147047,319134,142688,174487,189285,178796,167414,98678,80070,109545,52646,36947,62484,26455,56653,21543,26129,16498,8820
2012,1041389,888848,278298,1606572,274567,375759,301143,156634,340612,155660,177659,197116,185999,171644,107449,81732,107846,55210,39201,61648,27617,59849,22859,25487,16601,9177
2013,1081781,936470,292960,1652153,292258,386736,311354,168302,355486,166302,188592,205553,191607,172725,109944,87713,111639,56864,42581,67073,29309,63672,24622,26797,17709,9517
2014,1124096,999736,306464,1691354,302154,391264,318214,177313,373902,178335,192367,215864,196419,176093,112441,88701,111666,58453,45321,68623,30463,67208,26148,25938,17890,9946
2015,1156767,1050038,309744,1697107,300245,391289,323483,188190,398112,186806,192891,222146,198866,175324,111794,90252,108495,57940,45700,68781,31333,68574,27017,24666,17346,9923
2016,1150737,1080253,305407,1751277,300585,388669,326257,191223,397507,189598,193031,220697,195779,183744,113111,87432,103761,58209,46075,71322,31075,69357,26793,23994,17277,9426
2017,1169602,1061177,309366,1443150,296243,387428,317961,191050,377413,191043,191693,222306,191025,173725,110101,89462,94696,57528,47475,67773,32057,69003,28047,22620,16755,9752
2018,1183805,1070053,313070,1310845,310862,410009,307144,191415,375863,190104,194740,224265,185142,169496,115161,89187,92665,56391,50513,69456,31889,70870,29083,21780,17418,9560
2019,1255159,1110852,321314,1364635,327656,435350,321179,203563,367842,198572,203258,235042,191687,173436,117775,93984,93600,59684,53983,72343,33549,72509,30198,22698,17693,9691
2020,1352023,1134732,331115,1363961,341469,446503,326701,220044,354794,210220,198825,236596,209560,159075,110870,92632,91649,61135,54744,83232,35088,70512,35623,24114,17885,9615
2021,1346354,1025178,316466,1144111,335176,435758,317340,214893,293280,187079,195325,212738,188184,144580,105735,93151,87465,59445,55551,81069,32320,63089,36455,22749,17081,9289
2022,1271578,859252,291661,962785,309911,420837,307338,189643,335201,159842,195503,183693,167588,134393,94927,88373,84504,58753,58365,78724,29000,57325,32918,21738,17292,8488
2023,1277727,929719,300037,1018254,324619,461740,297838,193421,242014,170316,196254,211971,199755,143831,142537,90113,85487,59257,60891,75669,29651,59865,32842,21446,17751,8827
2024,1340989,961779,323625,1122557,343500,499552,311128,210696,243116,188332,204484,243578,204119,140076,106004,93672,89953,59547,66726,75569,34123,67877,34465,23050,19978,8718
